#Layout of plot zone full-shd : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-01-21  11:10 pshenoa ITER#012_(DT1-F57-W,_15MA,_H-mode,_D+He+Ne,_120MW,_wlld_3/9/
#R	Z	Rc	Zc	x	DG_elm
 5.17706E+00	-4.40242E+00	 5.18444E+00	-4.38188E+00	 2.13783E+01	  942
 5.19182E+00	-4.36134E+00	 5.20184E+00	-4.34447E+00	 2.14197E+01	  943
 5.21186E+00	-4.32760E+00	 5.22287E+00	-4.31312E+00	 2.14576E+01	  944
 5.23389E+00	-4.29864E+00	 5.24583E+00	-4.28687E+00	 2.14925E+01	  945
 5.25777E+00	-4.27511E+00	 5.27544E+00	-4.27836E+00	 2.15272E+01	  946
 5.29311E+00	-4.28160E+00	 5.30459E+00	-4.29308E+00	 2.15614E+01	  947
 5.31608E+00	-4.30457E+00	 5.32181E+00	-4.31029E+00	 2.15858E+01	  948
 5.32753E+00	-4.31601E+00	 5.34174E+00	-4.33022E+00	 2.16140E+01	  949
 5.35595E+00	-4.34443E+00	 5.36434E+00	-4.35281E+00	 2.16459E+01	  950
 5.37273E+00	-4.36120E+00	 5.38009E+00	-4.36855E+00	 2.16682E+01	  951
 5.38745E+00	-4.37591E+00	 5.39368E+00	-4.38214E+00	 2.16874E+01	  952
 5.39992E+00	-4.38837E+00	 5.40501E+00	-4.39346E+00	 2.17034E+01	  953
 5.41010E+00	-4.39855E+00	 5.41367E+00	-4.40212E+00	 2.17157E+01	  954
 5.41723E+00	-4.40568E+00	 5.42131E+00	-4.40976E+00	 2.17265E+01	  955
 5.42540E+00	-4.41384E+00	 5.42846E+00	-4.41690E+00	 2.17366E+01	  956
 5.43152E+00	-4.41997E+00	 5.43427E+00	-4.42272E+00	 2.17448E+01	  957
 5.43702E+00	-4.42547E+00	 5.43954E+00	-4.42799E+00	 2.17523E+01	  958
 5.44207E+00	-4.43051E+00	 5.44442E+00	-4.43286E+00	 2.17592E+01	  959
 5.44677E+00	-4.43521E+00	 5.44899E+00	-4.43743E+00	 2.17656E+01	  960
 5.45122E+00	-4.43966E+00	 5.45335E+00	-4.44179E+00	 2.17718E+01	  961
 5.45548E+00	-4.44391E+00	 5.45754E+00	-4.44597E+00	 2.17777E+01	  962
 5.45960E+00	-4.44803E+00	 5.46161E+00	-4.45004E+00	 2.17835E+01	  963
 5.46362E+00	-4.45205E+00	 5.46559E+00	-4.45403E+00	 2.17891E+01	  964
 5.46757E+00	-4.45600E+00	 5.46952E+00	-4.45795E+00	 2.17947E+01	  965
 5.47148E+00	-4.45991E+00	 5.47289E+00	-4.46132E+00	 2.17994E+01	  966
 5.47431E+00	-4.46274E+00	 5.47682E+00	-4.46524E+00	 2.18050E+01	  967
 5.47932E+00	-4.46775E+00	 5.48131E+00	-4.46974E+00	 2.18113E+01	  968
 5.48330E+00	-4.47173E+00	 5.48532E+00	-4.47375E+00	 2.18170E+01	  969
 5.48735E+00	-4.47577E+00	 5.48943E+00	-4.47786E+00	 2.18228E+01	  970
 5.49152E+00	-4.47994E+00	 5.49369E+00	-4.48211E+00	 2.18288E+01	  971
 5.49586E+00	-4.48428E+00	 5.49816E+00	-4.48658E+00	 2.18351E+01	  972
 5.50045E+00	-4.48887E+00	 5.50293E+00	-4.49134E+00	 2.18419E+01	  973
 5.50540E+00	-4.49382E+00	 5.50814E+00	-4.49656E+00	 2.18493E+01	  974
 5.51089E+00	-4.49930E+00	 5.51378E+00	-4.50220E+00	 2.18572E+01	  975
 5.51668E+00	-4.50509E+00	 5.52079E+00	-4.50921E+00	 2.18671E+01	  976
 5.52491E+00	-4.51332E+00	 5.52984E+00	-4.51825E+00	 2.18799E+01	  977
 5.53477E+00	-4.52317E+00	 5.54232E+00	-4.53073E+00	 2.18976E+01	  978
 5.54988E+00	-4.53828E+00	 5.55704E+00	-4.53907E+00	 2.19155E+01	  979
 5.56420E+00	-4.53987E+00	 5.56420E+00	-4.52786E+00	 2.19347E+01	  765
 5.56420E+00	-4.51585E+00	 5.56420E+00	-4.50511E+00	 2.19574E+01	  766
 5.56420E+00	-4.49438E+00	 5.56420E+00	-4.48494E+00	 2.19776E+01	  767
 5.56420E+00	-4.47551E+00	 5.56420E+00	-4.46982E+00	 2.19927E+01	  768
 5.56420E+00	-4.46412E+00	 5.56420E+00	-4.46167E+00	 2.20009E+01	  769
 5.56420E+00	-4.45922E+00	 5.56420E+00	-4.45234E+00	 2.20102E+01	  770
 5.56420E+00	-4.44546E+00	 5.56420E+00	-4.44233E+00	 2.20202E+01	  771
 5.56420E+00	-4.43919E+00	 5.56420E+00	-4.43667E+00	 2.20259E+01	  772
 5.56420E+00	-4.43415E+00	 5.56420E+00	-4.43102E+00	 2.20315E+01	  773
 5.56420E+00	-4.42789E+00	 5.56420E+00	-4.42652E+00	 2.20360E+01	  774
 5.56420E+00	-4.42515E+00	 5.56420E+00	-4.42172E+00	 2.20408E+01	  775
 5.56420E+00	-4.41830E+00	 5.56420E+00	-4.41687E+00	 2.20457E+01	  776
 5.56420E+00	-4.41544E+00	 5.56420E+00	-4.41443E+00	 2.20481E+01	  777
 5.56420E+00	-4.41342E+00	 5.56420E+00	-4.41185E+00	 2.20507E+01	  778
 5.56420E+00	-4.41028E+00	 5.56420E+00	-4.40947E+00	 2.20531E+01	  779
 5.56420E+00	-4.40865E+00	 5.56420E+00	-4.40753E+00	 2.20550E+01	  780
 5.56420E+00	-4.40641E+00	 5.56420E+00	-4.40415E+00	 2.20584E+01	  781
 5.56420E+00	-4.40190E+00	 5.56420E+00	-4.40012E+00	 2.20624E+01	  782
 5.56420E+00	-4.39835E+00	 5.56420E+00	-4.39675E+00	 2.20658E+01	  783
 5.56420E+00	-4.39515E+00	 5.56420E+00	-4.39068E+00	 2.20719E+01	  784
 5.56420E+00	-4.38620E+00	 5.56420E+00	-4.38360E+00	 2.20789E+01	  785
 5.56420E+00	-4.38101E+00	 5.56420E+00	-4.37799E+00	 2.20846E+01	  786
 5.56420E+00	-4.37497E+00	 5.56420E+00	-4.36820E+00	 2.20944E+01	  787
 5.56420E+00	-4.36143E+00	 5.56420E+00	-4.35735E+00	 2.21052E+01	  788
 5.56420E+00	-4.35327E+00	 5.56420E+00	-4.34937E+00	 2.21132E+01	  789
 5.56420E+00	-4.34548E+00	 5.56420E+00	-4.33623E+00	 2.21263E+01	  790
 5.56420E+00	-4.32698E+00	 5.56420E+00	-4.31638E+00	 2.21462E+01	  791
 5.56420E+00	-4.30577E+00	 5.56420E+00	-4.29366E+00	 2.21689E+01	  792
 5.56420E+00	-4.28155E+00	 5.56420E+00	-4.26774E+00	 2.21948E+01	  793
